id,name,type,sex,height,land,peakvalue
fcb25,Thomas Mueller,1,59,60,NA,L
fcb26,Sven Ulreich,1,59,204,NA,D
fcb27,Yann Sommer,1,59,21,NA,E
fcb38,Ryan Gravenberch,1,59,3,NA,I
fcb39,Mathys Tel,1,59,155,NA,F
fcb4,Mathijs de Ligt,1,59,3,NA,L
fcb40,Noussair Mazraoui,1,59,3,NA,H
fcb42,Jamal Musiala,1,59,60,NA,L
fcb44,Josip Stanisic,1,59,60,NA,D
fcb5,Benjamin Pavard,1,59,114,NA,J
fcb6,Joshua Kimmich,1,59,204,NA,L
fcb7,Serge Gnabry,1,59,8,NA,L
fcb8,Leon Goretzka,1,59,29,NA,L
fcbj,FC Bayern Jugend,2,60,NA,GER,NA
fcc,FC Cannes,2,245,NA,FRA,NA
fck,1 FC Kaiserslautern,2,61,NA,GER,NA
fcm,FC Magdeburg,2,253,NA,GER,NA
fcn,1 FC Nuernberg,2,62,NA,GER,NA
fcno,FC Nordsjaelland,2,63,NA,DEN,NA
fcsi,FC Sion,2,64,NA,SUI,NA
fcu,1 FC Union Berlin,2,65,NA,GER,NA
fcu1,Frederik Roennow,1,65,94,NA,B
fcu11,Sven Michel,1,65,133,NA,A
fcu13,Andras Schaefer,1,65,127,NA,B
fcu14,Paul Seguin,1,65,211,NA,A
fcu16,Tim Maciejewski,1,65,66,NA,A
fcu17,Kevin Behrens,1,65,190,NA,A
fcu18,Josip Juranovic,1,65,135,NA,D
fcu19,Jannik Haberer,1,65,199,NA,D
fcu2,Morten Thorsby,1,65,180,NA,C
fcu20,Aissa Laidouni,1,65,9,NA,B
fcu23,Niko Giesselmann,1,65,86,NA,B
fcu25,Timo Baumgartl,1,65,204,NA,E
fcu26,Jerome Rousillon,1,65,176,NA,F
fcu27,Sheraldo Becker,1,65,3,NA,E
fcu28,Christopher Trimmel,1,65,93,NA,A
fcu3,Paul Jaeckel,1,65,211,NA,C
fcu30,Kevin Moehwald,1,65,161,NA,B
fcu31,Robin Knoche,1,65,211,NA,E
fcu32,Milos Pantovic,1,65,60,NA,A
fcu37,Lennart Grill,1,65,61,NA,A
fcu4,Diogo Leite,1,65,148,NA,D
fcu40,Jamie Leweling,1,65,76,NA,B
fcu45,Jordan Siebatcheu,1,65,154,NA,D
fcu5,Danilho Doekhi,1,65,3,NA,B
fcu7,Levin Oeztunali,1,65,96,NA,C
fcu8,Rani Khedira,1,65,204,NA,D
fcuj,Union Berlin Jugend,2,66,NA,GER,NA
fcv,FC Voluntari,2,224,NA,ROM,NA
fcz,FC Zuerich,2,67,NA,SUI,NA
fen,Fenerbahce Istanbul,2,68,NA,TUR,NA
feye,Feyenoord Rotterdam,2,69,NA,NED,NA
fhs,Fujieda Highschool,2,70,NA,JAP,NA
foot,Generation Foot,2,71,NA,SEN,NA
for,Fortuna Duesseldorf,2,72,NA,GER,NA
fsv,FSV Mainz 05,2,73,NA,GER,NA
fsv1,Finn Dahmen,1,73,74,NA,A
fsv11,Marcus Ingvartsen,1,73,63,NA,B
fsv16,Stefan Bell,1,73,74,NA,C
fsv17,Ludovic Ajourque,1,73,9,NA,F
fsv19,Anthony Caci,1,73,185,NA,C
fsv20,Edmilson Fernandes,1,73,64,NA,D
fsv21,Danny da Costa,1,73,113,NA,E
fsv25,Andreas Hanche Olsen,1,73,180,NA,B
fsv27,Robin Zentner,1,73,74,NA,B
fsv29,Jonathan Burkardt,1,73,74,NA,F
fsv3,Aaron Martin,1,73,55,NA,F
fsv30,Silvan Widmer,1,73,2,NA,D
fsv31,Dominik Kohr,1,73,113,NA,D
fsv36,Marlon Mustapha,1,73,74,NA,A
fsv37,Delano Burgzorg,1,73,83,NA,A
fsv4,Aymen Barkok,1,73,170,NA,B
fsv42,Alexander Hack,1,73,128,NA,B
fsv43,Brajan Gruda,1,73,74,NA,A
fsv44,Nelson Weiper,1,73,74,NA,A
fsv5,Maxim Leitsch,1,73,29,NA,B
fsv6,Anton Stach,1,73,142,NA,E
fsv7,Jae Sung Lee,1,73,108,NA,B
fsv8,Leandro Barreiro,1,73,74,NA,E
fsv9,Karim Onisiwo,1,73,198,NA,B
fsvj,FSV Mainz Jugend,2,74,NA,GER,NA
ful,FC Fulham,2,75,NA,ENG,NA
fur,Greuther Fuerth,2,76,NA,GER,NA
gala,Galatasaray Istanbul,2,77,NA,TUR,NA
gamb,Gamba Osaka,2,78,NA,JAP,NA
gcz,Grasshoppers Zuerich,2,79,NA,SUI,NA
gel,FC Schalke 04,2,80,NA,GER,NA
gel1,Ralf Faehrmann,1,80,81,NA,E
gel10,Rodrigo Zalazar,1,80,121,NA,B
gel11,Marius Buelter,1,80,129,NA,B
gel13,Alexander Schwolow,1,80,167,NA,D
gel15,Timothee Kolodziejczak,1,80,111,NA,C
gel18,Jere Uronen,1,80,194,NA,B
gel19,Kenan Karaman,1,80,196,NA,B
gel2,Thomas Ouwejan,1,80,4,NA,B
gel20,Tim Skarke,1,80,89,NA,A
gel21,Niklas Tauer,1,80,74,NA,A
gel23,Mehmet Aydin,1,80,81,NA,B
gel24,Dominick Drexler,1,80,113,NA,B
gel25,Moritz Jenz,1,80,75,NA,B
gel26,Michael Frey,1,80,212,NA,C
gel27,Cedric Brunner,1,80,67,NA,B
gel29,Tobias Mohr,1,80,1,NA,A
gel3,Leo Greiml,1,80,184,NA,B
gel30,Alex Kral,1,80,174,NA,D
gel33,Eder Balanta,1,80,158,NA,C
gel34,Michael Langer,1,80,204,NA,A
gel35,Marcin Kaminski,1,80,109,NA,B
gel37,Andreas Ivan,1,80,181,NA,A
gel38,Siochiro Kozuki,1,80,164,NA,A
